user_id,product_id,interaction_type,timestamp
287,230,view,2026-03-10 17:01:12.611504
969,991,add_to_cart,2026-03-01 17:01:12.613964
304,613,view,2026-03-18 17:01:12.613964
350,261,view,2026-03-18 17:01:12.613964
307,699,purchase,2026-03-05 17:01:12.613964
179,456,view,2026-02-25 17:01:12.613964
698,879,purchase,2026-03-05 17:01:12.613964
477,240,purchase,2026-03-05 17:01:12.613964
172,584,add_to_cart,2026-02-20 17:01:12.613964
768,510,add_to_cart,2026-03-15 17:01:12.613964
882,362,view,2026-02-28 17:01:12.613964
359,433,view,2026-02-18 17:01:12.613964
972,47,add_to_cart,2026-03-16 17:01:12.613964
19,159,add_to_cart,2026-02-23 17:01:12.613964
891,246,add_to_cart,2026-03-14 17:01:12.613964
524,652,view,2026-02-24 17:01:12.613964
129,925,add_to_cart,2026-03-03 17:01:12.613964
716,401,purchase,2026-03-01 17:01:12.613964
847,885,view,2026-02-18 17:01:12.613964
266,715,add_to_cart,2026-03-01 17:01:12.613964
809,373,add_to_cart,2026-03-16 17:01:12.613964
904,608,purchase,2026-03-08 17:01:12.613964
8,748,view,2026-03-13 17:01:12.613964
115,73,add_to_cart,2026-02-23 17:01:12.613964
891,215,add_to_cart,2026-02-28 17:01:12.613964
936,398,view,2026-02-19 17:01:12.613964
451,566,view,2026-02-28 17:01:12.613964
313,282,view,2026-03-03 17:01:12.614970
352,598,view,2026-02-17 17:01:12.614970
71,256,view,2026-02-22 17:01:12.614970
262,827,view,2026-03-06 17:01:12.614970
527,969,view,2026-02-26 17:01:12.614970
62,846,view,2026-03-17 17:01:12.614970
56,473,view,2026-02-22 17:01:12.614970
444,866,purchase,2026-02-27 17:01:12.614970
822,35,add_to_cart,2026-03-02 17:01:12.614970
534,45,view,2026-03-15 17:01:12.614970
947,4,view,2026-03-02 17:01:12.614970
912,484,view,2026-02-25 17:01:12.614970
56,436,view,2026-03-05 17:01:12.614970
599,770,purchase,2026-03-04 17:01:12.614970
511,660,add_to_cart,2026-02-27 17:01:12.614970
635,284,view,2026-03-09 17:01:12.614970
323,325,add_to_cart,2026-03-10 17:01:12.614970
668,268,purchase,2026-02-26 17:01:12.614970
331,596,view,2026-03-09 17:01:12.614970
979,624,view,2026-03-18 17:01:12.614970
562,579,view,2026-02-26 17:01:12.614970
948,201,view,2026-02-18 17:01:12.615473
522,291,view,2026-03-17 17:01:12.615473
274,693,view,2026-02-20 17:01:12.615473
375,883,view,2026-03-03 17:01:12.615473
230,802,view,2026-03-09 17:01:12.615473
851,400,add_to_cart,2026-03-11 17:01:12.615473
890,310,purchase,2026-03-16 17:01:12.615473
257,908,view,2026-03-03 17:01:12.615473
607,831,view,2026-03-09 17:01:12.615473
461,231,add_to_cart,2026-03-08 17:01:12.615473
856,10,purchase,2026-02-23 17:01:12.615473
944,86,view,2026-03-05 17:01:12.615473
74,786,view,2026-02-21 17:01:12.615473
380,681,view,2026-03-05 17:01:12.615473
